Type,Sample Name,Measurement Date and Time,Z-Average (d.nm),%Pd Peak 1 (Percent),%Pd Peak 2 (Percent),%Pd Peak 3 (Percent),PdI,PdI Width (d.nm),Intensities[1] (Percent),Intensities[2] (Percent),Intensities[3] (Percent),Intensities[4] (Percent),Intensities[5] (Percent),Intensities[6] (Percent),Intensities[7] (Percent),Intensities[8] (Percent),Intensities[9] (Percent),Intensities[10] (Percent),Intensities[11] (Percent),Intensities[12] (Percent),Intensities[13] (Percent),Intensities[14] (Percent),Intensities[15] (Percent),Intensities[16] (Percent),Intensities[17] (Percent),Intensities[18] (Percent),Intensities[19] (Percent),Intensities[20] (Percent),Intensities[21] (Percent),Intensities[22] (Percent),Intensities[23] (Percent),Intensities[24] (Percent),Intensities[25] (Percent),Intensities[26] (Percent),Intensities[27] (Percent),Intensities[28] (Percent),Intensities[29] (Percent),Intensities[30] (Percent),Intensities[31] (Percent),Intensities[32] (Percent),Intensities[33] (Percent),Intensities[34] (Percent),Intensities[35] (Percent),Intensities[36] (Percent),Intensities[37] (Percent),Intensities[38] (Percent),Intensities[39] (Percent),Intensities[40] (Percent),Intensities[41] (Percent),Intensities[42] (Percent),Intensities[43] (Percent),Intensities[44] (Percent),Intensities[45] (Percent),Intensities[46] (Percent),Intensities[47] (Percent),Intensities[48] (Percent),Intensities[49] (Percent),Intensities[50] (Percent),Intensities[51] (Percent),Intensities[52] (Percent),Intensities[53] (Percent),Intensities[54] (Percent),Intensities[55] (Percent),Intensities[56] (Percent),Intensities[57] (Percent),Intensities[58] (Percent),Intensities[59] (Percent),Intensities[60] (Percent),Intensities[61] (Percent),Intensities[62] (Percent),Intensities[63] (Percent),Intensities[64] (Percent),Intensities[65] (Percent),Intensities[66] (Percent),Intensities[67] (Percent),Intensities[68] (Percent),Intensities[69] (Percent),Volumes[1] (Percent),Volumes[2] (Percent),Volumes[3] (Percent),Volumes[4] (Percent),Volumes[5] (Percent),Volumes[6] (Percent),Volumes[7] (Percent),Volumes[8] (Percent),Volumes[9] (Percent),Volumes[10] (Percent),Volumes[11] (Percent),Volumes[12] (Percent),Volumes[13] (Percent),Volumes[14] (Percent),Volumes[15] (Percent),Volumes[16] (Percent),Volumes[17] (Percent),Volumes[18] (Percent),Volumes[19] (Percent),Volumes[20] (Percent),Volumes[21] (Percent),Volumes[22] (Percent),Volumes[23] (Percent),Volumes[24] (Percent),Volumes[25] (Percent),Volumes[26] (Percent),Volumes[27] (Percent),Volumes[28] (Percent),Volumes[29] (Percent),Volumes[30] (Percent),Volumes[31] (Percent),Volumes[32] (Percent),Volumes[33] (Percent),Volumes[34] (Percent),Volumes[35] (Percent),Volumes[36] (Percent),Volumes[37] (Percent),Volumes[38] (Percent),Volumes[39] (Percent),Volumes[40] (Percent),Volumes[41] (Percent),Volumes[42] (Percent),Volumes[43] (Percent),Volumes[44] (Percent),Volumes[45] (Percent),Volumes[46] (Percent),Volumes[47] (Percent),Volumes[48] (Percent),Volumes[49] (Percent),Volumes[50] (Percent),Volumes[51] (Percent),Volumes[52] (Percent),Volumes[53] (Percent),Volumes[54] (Percent),Volumes[55] (Percent),Volumes[56] (Percent),Volumes[57] (Percent),Volumes[58] (Percent),Volumes[59] (Percent),Volumes[60] (Percent),Volumes[61] (Percent),Volumes[62] (Percent),Volumes[63] (Percent),Volumes[64] (Percent),Volumes[65] (Percent),Volumes[66] (Percent),Volumes[67] (Percent),Volumes[68] (Percent),Volumes[69] (Percent),Numbers[1] (Percent),Numbers[2] (Percent),Numbers[3] (Percent),Numbers[4] (Percent),Numbers[5] (Percent),Numbers[6] (Percent),Numbers[7] (Percent),Numbers[8] (Percent),Numbers[9] (Percent),Numbers[10] (Percent),Numbers[11] (Percent),Numbers[12] (Percent),Numbers[13] (Percent),Numbers[14] (Percent),Numbers[15] (Percent),Numbers[16] (Percent),Numbers[17] (Percent),Numbers[18] (Percent),Numbers[19] (Percent),Numbers[20] (Percent),Numbers[21] (Percent),Numbers[22] (Percent),Numbers[23] (Percent),Numbers[24] (Percent),Numbers[25] (Percent),Numbers[26] (Percent),Numbers[27] (Percent),Numbers[28] (Percent),Numbers[29] (Percent),Numbers[30] (Percent),Numbers[31] (Percent),Numbers[32] (Percent),Numbers[33] (Percent),Numbers[34] (Percent),Numbers[35] (Percent),Numbers[36] (Percent),Numbers[37] (Percent),Numbers[38] (Percent),Numbers[39] (Percent),Numbers[40] (Percent),Numbers[41] (Percent),Numbers[42] (Percent),Numbers[43] (Percent),Numbers[44] (Percent),Numbers[45] (Percent),Numbers[46] (Percent),Numbers[47] (Percent),Numbers[48] (Percent),Numbers[49] (Percent),Numbers[50] (Percent),Numbers[51] (Percent),Numbers[52] (Percent),Numbers[53] (Percent),Numbers[54] (Percent),Numbers[55] (Percent),Numbers[56] (Percent),Numbers[57] (Percent),Numbers[58] (Percent),Numbers[59] (Percent),Numbers[60] (Percent),Numbers[61] (Percent),Numbers[62] (Percent),Numbers[63] (Percent),Numbers[64] (Percent),Numbers[65] (Percent),Numbers[66] (Percent),Numbers[67] (Percent),Numbers[68] (Percent),Numbers[69] (Percent)
Size,LPS 4 Tris 1,"Wednesday, March 9, 2022 7:11:47 PM",152.8,55.3,24.9,0,0.276,80.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.3,2.8,4.5,6.4,8,9.3,10,10.1,9.7,8.8,7.6,6.2,4.7,3.3,2.1,1.2,0.5,0.2,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.8,5.9,8.3,9.5,9.4,8.6,7.6,6.6,6.1,5.9,5.4,4.6,3.9,3.2,2.5,1.8,1.2,0.7,0.3,0.1,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.8,1.2,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,13.7,21.2,20.7,15.7,10.3,6.1,3.5,2,1.2,0.7,0.4,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 Tris 2,"Wednesday, March 9, 2022 7:13:42 PM",158.3,58,31.1,0,0.291,85.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.2,2.6,4.4,6.2,7.8,9,9.6,9.8,9.3,8.5,7.4,6.1,4.8,3.5,2.4,1.5,0.8,0.4,0.1,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.4,5.3,7.9,9.1,9.1,8.4,7.4,6.5,6,5.7,5.3,4.6,3.9,3.3,2.7,2.1,1.5,1,0.6,0.3,0.1,0,0.1,0.3,0.3,0.2,0.3,0.3,0.5,0.6,0.9,1.3,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,12.4,20.5,21.1,16.5,10.9,6.5,3.7,2.1,1.2,0.8,0.5,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 Tris 3,"Wednesday, March 9, 2022 7:15:36 PM",156.4,54.2,19.8,0,0.259,79.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.1,2.5,4.2,6,7.7,9,9.9,10.2,10,9.2,8.1,6.7,5.2,3.7,2.4,1.3,0.6,0.1,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.4,5.2,7.7,9,9.1,8.5,7.6,6.8,6.4,6.3,5.9,5.1,4.4,3.7,2.9,2.1,1.3,0.8,0.3,0.1,0,0,0,0,0,0,0,0.1,0.2,0.3,0.6,1.1,1.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,12.5,20.3,20.8,16.2,10.9,6.6,3.8,2.2,1.3,0.8,0.5,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 Tris + gel 1,"Wednesday, March 9, 2022 7:20:22 PM",89.13,48.2,0,0,0.285,47.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.7,3.5,5.6,7.7,9.6,10.9,11.5,11.3,10.4,8.9,7.1,5.1,3.3,1.8,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.5,5.1,9.6,12.7,13.7,12.9,11,8.8,6.8,5.1,3.8,2.9,2.3,1.7,1.1,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,6.1,16.3,22.4,20.4,14.7,9.1,5.1,2.7,1.3,0.6,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 Tris + gel 2,"Wednesday, March 9, 2022 7:22:17 PM",100.4,53.3,38,20.8,0.383,62.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.3,0.1,0,0.1,0.5,1.3,2.5,3.9,5.5,7.1,8.4,9.3,9.6,9.5,8.8,7.7,6.3,4.8,3.3,2,1,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.4,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,12.5,19.2,18.7,14.7,10.4,7.1,4.7,3,1.6,0.8,0.3,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,24.6,29,19.6,10.2,4.7,2.1,0.9,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 Tris + gel 3,"Wednesday, March 9, 2022 7:24:11 PM",101.9,56.7,17.8,0,0.391,63.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,1,1.9,3.1,4.4,5.7,7,8.1,8.9,9.4,9.3,8.9,8,6.8,5.4,3.9,2.6,1.5,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.6,0.8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.3,5.3,8.4,10.4,11.1,10.6,9.4,7.9,6.4,5.1,4,3.3,2.8,2.6,2.2,1.7,1.3,0.9,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.8,0.8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,10.9,18.9,20.8,17.3,12.2,7.6,4.4,2.4,1.3,0.7,0.3,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 SM 1,"Wednesday, March 9, 2022 7:28:58 PM",155.9,58.2,20.7,0,0.301,85.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.5,0.9,1.7,2.7,4,5.4,6.8,8,8.9,9.4,9.4,8.9,8,6.9,5.5,4.1,2.8,1.7,0.8,0.3,0.1,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,3.7,5,4.7,3.7,3.3,3.8,4.7,5.6,6.1,6.1,5.8,5.3,4.7,4.3,4.1,4.2,4,3.6,3.1,2.7,2.3,1.7,1.2,0.8,0.4,0.1,0,0,0,0,0,0,0,0.1,0.2,0.3,0.5,0.9,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,11.3,23.7,24.4,15.5,8,4.4,3.1,2.4,1.9,1.4,0.9,0.6,0.3,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 SM 2,"Wednesday, March 9, 2022 7:30:51 PM",165.1,50.3,24.3,0,0.281,87.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.6,3.4,5.6,7.7,9.4,10.5,10.9,10.5,9.6,8.2,6.5,4.8,3.2,1.9,0.9,0.3,0.1,0,0,0,0,0,0,0.1,0.2,0.3,0.5,0.7,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,5.4,7.8,9,9.1,8.5,7.8,7.4,7.2,6.6,5.6,4.6,3.7,2.8,1.8,1.1,0.5,0.2,0,0,0,0,0,0,0.1,0.2,0.3,0.5,0.8,1.3,2,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,12.7,20.5,20.7,16.1,10.6,6.5,3.8,2.3,1.4,0.9,0.5,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 SM 3,"Wednesday, March 9, 2022 7:32:45 PM",164.2,53.7,27.7,0,0.297,89.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,2,3.8,5.7,7.5,9,9.9,10.2,9.9,9.1,7.8,6.4,4.9,3.5,2.2,1.2,0.6,0.2,0,0,0,0,0,0.1,0.2,0.3,0.5,0.6,0.8,0.9,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,3.8,6.5,8.3,8.9,8.6,7.8,7,6.6,6.4,5.9,5.1,4.3,3.6,2.8,2,1.3,0.8,0.3,0.1,0,0,0,0.1,0.1,0.2,0.3,0.4,0.6,0.9,1.3,1.9,1.9,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,8,17.3,21.4,18.6,13.2,8.3,4.9,2.8,1.7,1.1,0.6,0.4,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Size,LPS 4 SM + gel 1,"Wednesday, March 9, 2022 7:38:17 PM",93.18,53.7,17.4,0,0.383,57.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,2.1,3.6,5.3,7,8.5,9.5,10.1,10.1,9.6,8.6,7.3,5.8,4.2,2.7,1.5,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.6,7.7,11,12.5,12.3,11,9.1,7.2,5.5,4.2,3.2,2.6,2.2,1.8,1.3,0.9,0.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,13.7,21.4,21.2,16.2,10.6,6.2,3.3,1.7,0.9,0.4,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
